id,name,price,category,type,size,available
822ad512-c71e-45eb-867f-b0f4cf190c4a,"Сейнт Питерс Сливовый Портер /  St. Peter's Plum Porter( 0,5 л.)",450,Пиво бутылочное,Англия,,True
cde3c657-34c5-46f3-af3d-2c54fcc731e8,"Сидр Алска Клубника и Лайм / Alska Strawberry & Lime ж/б (0,5 л.)",490,Пиво бутылочное,Сидр,,True
1bb53ec4-604c-4d63-862a-6a1c77c6b233,"Сидр Алска Лесные ягоды / Alska Nordic Berries (0,5 л.)",490,Пиво бутылочное,Сидр,,True
de321049-6c07-4da0-a2e6-6c283039c83b,"Сидр Алска Персик Манго & Лайм/Cider Alska Peach Mango & Lime ж/б (0,33 л)",320,Пиво бутылочное,Сидр,,True
bef72c0a-40a1-42b9-92f5-c91bdb0d67a4,Гульден Драк,790,Пиво разливное,Эль темный,0.5л,True
bef72c0a-40a1-42b9-92f5-c91bdb0d67a4,Гульден Драк,490,Пиво разливное,Эль темный,0.33л,True
bef72c0a-40a1-42b9-92f5-c91bdb0d67a4,Гульден Драк,1200,Пиво разливное,Эль темный,1л,True
ad856a99-8f98-47da-b491-5efc46f0e5ac,Блэк Шип Стаут,520,Пиво разливное,Стаут,0.5л,True
ad856a99-8f98-47da-b491-5efc46f0e5ac,Блэк Шип Стаут,370,Пиво разливное,Стаут,0.33л,True
ad856a99-8f98-47da-b491-5efc46f0e5ac,Блэк Шип Стаут,690,Пиво разливное,Стаут,1л,True
e99ea22d-5f08-4021-af0a-4b93d8cac60d,Крик бун,550,Пиво разливное,Эль красный,0.5л,True
e99ea22d-5f08-4021-af0a-4b93d8cac60d,Крик бун,790,Пиво разливное,Эль красный,1л,True
e99ea22d-5f08-4021-af0a-4b93d8cac60d,Крик бун,350,Пиво разливное,Эль красный,0.33л,True
06782d5b-f6e8-4197-b966-1660a49a2396,Литовел пилзнер,620,Пиво разливное,Светлое фильтр,1л,True
06782d5b-f6e8-4197-b966-1660a49a2396,Литовел пилзнер,365,Пиво разливное,Светлое фильтр,0.5л,True
06782d5b-f6e8-4197-b966-1660a49a2396,Литовел пилзнер,290,Пиво разливное,Светлое фильтр,0.33л,True
7442ffc4-02c3-48fe-a1c7-cbb8db0026e7,Говядина,230,Закуски,Мясные,,True
7698943b-ff15-489d-b538-208b73cc19c3,Индейка,230,Закуски,Мясные,,True
f7a21753-ddc1-4b98-bac0-420e2f7a7fb2,Колбаски с беконом,230,Закуски,Мясные,,True
b13990fb-333d-4334-911c-d86a959cf49b,Колбаски чили,230,Закуски,Мясные,,True
5d58d243-7281-4929-b171-c6f0a64baa43,Курица,230,Закуски,Мясные,,True
edaf597f-e324-48ee-90d2-034b6f56a94d,Оленина,230,Закуски,Мясные,,True
d8a27a92-78ef-4113-867a-1569065d99fd,Арахис Бекон,200,Закуски,Орехи,,True
ca2e923f-cc40-49ed-8fbf-2b4a8b0c42ce,Арахис Сыр,200,Закуски,Орехи,,True
bbd3a91d-c957-4f0b-9e0f-4dc980bdb67c,Арахис васаби,200,Закуски,Орехи,,True
597fa0c9-4605-4efb-9618-0033bc99ae9e,Фисташки,200,Закуски,Орехи,,True
bc847a2f-af96-4f05-abde-34dd2d03d3b9,Полукольца кальмара,250,Закуски,Рыбные,,True
b9ad08e0-44d3-48a7-9bfa-eb6d4b4488fd,Икра воблы,250,Закуски,Рыбные,,True
911995b9-aa04-4a01-91f2-967f87980982,Соломка горбуши,250,Закуски,Рыбные,,True
a9c0fb94-45be-43c9-ac48-ac12c78ac90d,Соломка кеты,250,Закуски,Рыбные,,True
506e951e-d7e7-44fc-8baa-91a9bca476f0,Сыр охотничий,210,Закуски,Сырные,,True
f80d636a-8717-4b99-9456-46c318bc2c6c,Курпфальц Хель,360,Пиво разливное,Светлое фильтр,0.33л,True
f80d636a-8717-4b99-9456-46c318bc2c6c,Курпфальц Хель,760,Пиво разливное,Светлое фильтр,1л,True
f80d636a-8717-4b99-9456-46c318bc2c6c,Курпфальц Хель,490,Пиво разливное,Светлое фильтр,0.5л,True
